id;start_date;end_date;language
1;2021-05-26T10:50:21;2021-05-26T08:40:36;ENGLISH
2;2021-05-25T20:17:56;2021-05-26T05:43:25;FRENCH
3;2021-05-26T06:14:08;2021-05-25T18:19:16;SPANISH
4;2021-05-26T10:44:57;2021-05-25T16:11:16;FRENCH
5;2021-05-26T13:01:20;2021-05-25T21:20:18;ENGLISH
6;2021-05-25T22:32:03;2021-05-26T12:32:23;SPANISH
7;2021-05-26T06:35:51;2021-05-25T17:10:00;FRENCH
8;2021-05-25T21:01:44;2021-05-25T17:37:33;FRENCH
9;2021-05-25T21:53:22;2021-05-26T09:24:48;FRENCH
10;2021-05-25T17:50:20;2021-05-26T10:47:49;FRENCH
